"","Overall"
"n"," 48895"
"room_type (%)","      "
"   Entire home/apt","  52.0"
"   Private room","  45.7"
"   Shared room","   2.4"
"latitude (mean (SD))"," 40.73 (0.05)"
"longitude (mean (SD))","-73.95 (0.05)"
"price (mean (SD))","152.72 (240.15)"
"minimum_nights (mean (SD))","  7.03 (20.51)"
"number_of_reviews (mean (SD))"," 23.27 (44.55)"
"reviews_per_month (mean (SD))","  1.37 (1.68)"
"calculated_host_listings_count (mean (SD))","  7.14 (32.95)"
"availability_365 (mean (SD))","112.78 (131.62)"
