"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"3",3,20,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","0-17 years",341,2,36786,625,95,104
"7",7,24,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","18-29 years",2779,4,87726,2513,1326,80
"9",9,26,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","30-39 years",8398,4,118787,6835,4412,161
"11",11,28,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","40-49 years",20905,4,167025,16114,11330,287
"13",13,30,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","50-64 years",88958,4,657456,76579,49411,1300
"15",15,32,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","65-74 years",105013,4,743494,97765,59212,1163
"16",16,33,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","75-84 years",112327,4,792662,105991,61080,1024
"17",17,34,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Male","85 years and over",88322,4,710686,83168,42686,779
"20",20,37,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","0-17 years",280,2,26213,507,75,85
"24",24,41,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","18-29 years",1768,4,32342,1627,889,70
"26",26,43,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","30-39 years",5053,4,56484,4348,2636,166
"28",28,45,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","40-49 years",11900,4,95171,10079,6455,226
"30",30,47,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","50-64 years",52825,4,407791,49792,30229,950
"32",32,49,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","65-74 years",70417,4,538321,66277,39024,895
"33",33,50,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","75-84 years",87875,4,726769,80198,44370,1026
"34",34,51,"11/24/2021","1/1/2020","11/20/2021","By Total","United States","Female","85 years and over",116651,4,1097162,93142,45775,1135
"39",39,75,"11/24/2021","1/1/2020","11/20/2021","By Total","Alabama","Male","18-29 years",61,1,1698,42,23,NA
"41",41,77,"11/24/2021","1/1/2020","11/20/2021","By Total","Alabama","Male","30-39 years",194,2,2248,129,75,NA
